Names,,,,Hours,Minutes,Seconds,RA,Sign,Degrees,Minutes,Seconds,Dec,,Abs. Mag,Distance   (parsecs),App. Mag,Star Class,,,,,,Lat Conversion,Lon Conversion,,Latitude,Longitude
RS 1234-342-0-0-112,,,,20,46,52.66,20.78129444,1,10,22,16.76,10.37132222,,-6.99,3193.03,5.53,O5.2 0,Hypergiant:,,O Class,100+ Parsecs,,-10.37132222,131.7194167,,-10.37132222,131.7194167
RS 1234-117-0-0-5,,,,17,58,44.97,17.97915833,-1,-75,6,17.96,-75.10498889,,-7.99,6133.7,5.95,O0.8  Ib,Supergiant:,,,,,75.10498889,89.687375,,75.10498889,89.687375
RS 1234-285-1-3-50,,,,9,41,17.63,9.688230556,-1,-53,26,26.76,-53.44076667,,-3.88,607.9,5.04,O9.7 Iab,17 Stars,,,,,53.44076667,-34.67654167,,53.44076667,-34.67654167
RS 1234-60-0-0-1,,,,4,26,47.12,4.446422222,-1,-39,36,28.77,-39.60799167,,-7.03,4607.38,6.29,O4.8 Ia,,,,,,39.60799167,-113.3036667,,39.60799167,-113.3036667
RS 1234-340-1-2-80,,,,17,36,3.05,17.60084722,-1,-23,1,0.38,-23.01677222,,-3.43,473.75,4.95,O8.9 Ia,,,,,,23.01677222,84.01270833,,23.01677222,84.01270833
RS 1234-285-0-0-67,,,,8,51,34.56,8.8596,-1,-27,38,48.36,-27.64676667,,-5.53,1518.75,5.38,O7.2 Ib,,,,,,27.64676667,-47.106,,27.64676667,-47.106
RS 1234-342-0-0-93,,,,23,7,52.61,23.13128056,-1,-17,17,24.36,-17.2901,,-6.88,2105.59,4.74,O7.6 Iab,,,,,,17.2901,166.9692083,,17.2901,166.9692083
RS 1234-287-0-0-127,,,,0,10,42.12,0.178366667,-1,0,26,11.12,-0.436422222,,-6.35,2694.19,5.80,O6 Ia,,,,,,0.436422222,-177.3245,,0.436422222,-177.3245
RS 1234-342-0-0-110,,,,23,13,52.12,23.23114444,-1,-4,10,19.82,-4.172172222,,-7.13,2618.63,4.96,O8.9 Ib,,,,,,4.172172222,168.4671667,,4.172172222,168.4671667
RS 1234-287-0-0-123,,,,1,36,18.46,1.605127778,1,2,57,12.3,2.953416667,,-7.71,2999.63,4.68,O9.8 Ia,,,,,,-2.953416667,-155.9230833,,-2.953416667,-155.9230833
RS 1234-286-0-0-0,,,,2,9,10.69,2.152969444,1,8,34,32.18,8.575605556,,-6.31,3457.24,6.38,O1.2 Ib,,,,,,-8.575605556,-147.7054583,,-8.575605556,-147.7054583
RS 1234-285-0-0-69,,,,7,7,15.73,7.121036111,1,18,3,41.35,18.06148611,,-7.85,1333.63,2.78,O0 Iab,,,,,,-18.06148611,-73.18445833,,-18.06148611,-73.18445833
RS 1234-340-1-6-19,,,,20,35,17.93,20.58831389,1,21,9,42.61,21.16183611,,-3.82,331.4,3.78,O9.5 Ia,,,,,,-21.16183611,128.8247083,,-21.16183611,128.8247083
RS 1234-287-0-0-118,,,,2,41,21.09,2.689191667,1,24,36,29.96,24.60832222,,-7.52,1219.39,2.91,O7.2 Iab,,,,,,-24.60832222,-139.662125,,-24.60832222,-139.662125
RS 1234-285-1-7-13,,,,11,15,17.72,11.25492222,1,37,29,7.4,37.48538889,,-3.39,576.37,5.41,O0.8  Ib,,,,,,-37.48538889,-11.17616667,,-37.48538889,-11.17616667
RS 1234-314-0-0-2,,,,2,21,27.82,2.357727778,1,31,40,21.21,31.67255833,,-7.44,4094.18,5.62,O5.3 Ib,,,,,,-31.67255833,-144.6340833,,-31.67255833,-144.6340833
