Latitude,Longitude,,RA (Lon),Dec (Lat),,,,Lat Conversion,,Lon Conversion,
51.87676667,-27.11795833,,10.19213611,-51.87676667,SCO 1,SCO 1a1,,-51.87676667,51.87676667,152.8820417,-27.11795833
50.90749444,-27.61195833,,10.15920278,-50.90749444,,,,-50.90749444,50.90749444,152.3880417,-27.61195833
51.32066389,-26.99183333,,10.20054444,-51.32066389,,,,-51.32066389,51.32066389,153.0081667,-26.99183333
51.7588,-28.23679167,,10.11754722,-51.7588,,,,-51.7588,51.7588,151.7632083,-28.23679167
51.08988889,-28.146625,,10.12355833,-51.08988889,,,,-51.08988889,51.08988889,151.853375,-28.146625
51.13694722,-27.15783333,,10.18947778,-51.13694722,,,,-51.13694722,51.13694722,152.8421667,-27.15783333
51.56128611,-27.947625,,10.136825,-51.56128611,,,,-51.56128611,51.56128611,152.052375,-27.947625
50.88411944,-27.37129167,,10.17524722,-50.88411944,,,,-50.88411944,50.88411944,152.6287083,-27.37129167
50.64822222,-27.81383333,,10.14574444,-50.64822222,,,,-50.64822222,50.64822222,152.1861667,-27.81383333
51.11346389,-26.75383333,,10.21641111,-51.11346389,,,,-51.11346389,51.11346389,153.2461667,-26.75383333
51.66394722,-27.0985,,10.19343333,-51.66394722,,,,-51.66394722,51.66394722,152.9015,-27.0985
51.00703611,-27.60029167,,10.15998056,-51.00703611,,,,-51.00703611,51.00703611,152.3997083,-27.60029167
51.34162222,-27.59220833,,10.16051944,-51.34162222,,,,-51.34162222,51.34162222,152.4077917,-27.59220833
50.75393611,-27.14720833,,10.19018611,-50.75393611,,,,-50.75393611,50.75393611,152.8527917,-27.14720833
51.73979444,-28.153125,,10.123125,-51.73979444,,,,-51.73979444,51.73979444,151.846875,-28.153125
51.97810278,-28.02354167,,10.13176389,-51.97810278,,,,-51.97810278,51.97810278,151.9764583,-28.02354167
51.12675,-27.33170833,,10.17788611,-51.12675,,,,-51.12675,51.12675,152.6682917,-27.33170833
50.32283333,-27.77625,,10.14825,-50.32283333,,,,-50.32283333,50.32283333,152.22375,-27.77625
50.96478333,-27.61308333,,10.15912778,-50.96478333,,,,-50.96478333,50.96478333,152.3869167,-27.61308333
51.14286667,-28.62025,,10.09198333,-51.14286667,,,,-51.14286667,51.14286667,151.37975,-28.62025
51.11205556,-27.42229167,,10.17184722,-51.11205556,,,,-51.11205556,51.11205556,152.5777083,-27.42229167
50.63408056,-27.39391667,,10.17373889,-50.63408056,,,,-50.63408056,50.63408056,152.6060833,-27.39391667
50.65231111,-26.515375,,10.23230833,-50.65231111,,,,-50.65231111,50.65231111,153.484625,-26.515375
50.98934167,-26.84845833,,10.21010278,-50.98934167,,,,-50.98934167,50.98934167,153.1515417,-26.84845833
51.21806667,-27.29304167,,10.18046389,-51.21806667,,,,-51.21806667,51.21806667,152.7069583,-27.29304167
51.48506389,-27.86616667,,10.14225556,-51.48506389,,,,-51.48506389,51.48506389,152.1338333,-27.86616667
51.08005556,-27.172,,10.18853333,-51.08005556,,,,-51.08005556,51.08005556,152.828,-27.172
51.49405278,-27.73320833,,10.15111944,-51.49405278,,,,-51.49405278,51.49405278,152.2667917,-27.73320833
51.23777222,-28.09479167,,10.12701389,-51.23777222,,,,-51.23777222,51.23777222,151.9052083,-28.09479167
51.425375,-27.50820833,,10.16611944,-51.425375,,,,-51.425375,51.425375,152.4917917,-27.50820833
51.31199722,-27.67741667,,10.15483889,-51.31199722,,,,-51.31199722,51.31199722,152.3225833,-27.67741667
51.41453333,-27.54591667,,10.16360556,-51.41453333,,,,-51.41453333,51.41453333,152.4540833,-27.54591667
51.27224167,-26.85004167,,10.20999722,-51.27224167,,,,-51.27224167,51.27224167,153.1499583,-26.85004167
50.94909167,-27.43645833,,10.17090278,-50.94909167,,,,-50.94909167,50.94909167,152.5635417,-27.43645833
51.39004722,-27.004125,,10.199725,-51.39004722,,,,-51.39004722,51.39004722,152.995875,-27.004125
50.58555556,-27.286,,10.18093333,-50.58555556,,,,-50.58555556,50.58555556,152.714,-27.286
50.93529167,-27.38675,,10.17421667,-50.93529167,,,,-50.93529167,50.93529167,152.61325,-27.38675
51.15500556,-27.34266667,,10.17715556,-51.15500556,,,,-51.15500556,51.15500556,152.6573333,-27.34266667
51.36553889,-27.722625,,10.151825,-51.36553889,,,,-51.36553889,51.36553889,152.277375,-27.722625
50.78134167,-27.632,,10.15786667,-50.78134167,,,,-50.78134167,50.78134167,152.368,-27.632
52.80610833,-28.57783333,,10.09481111,-52.80610833,,SCO 1a2,,-52.80610833,52.80610833,151.4221667,-28.57783333
51.50706389,-28.105125,,10.126325,-51.50706389,,,,-51.50706389,51.50706389,151.894875,-28.105125
52.22935278,-27.37958333,,10.17469444,-52.22935278,,,,-52.22935278,52.22935278,152.6204167,-27.37958333
51.09359444,-25.783125,,10.281125,-51.09359444,,,,-51.09359444,51.09359444,154.216875,-25.783125
52.32537778,-25.78175,,10.28121667,-52.32537778,,,,-52.32537778,52.32537778,154.21825,-25.78175
50.95857222,-27.75104167,,10.14993056,-50.95857222,,,,-50.95857222,50.95857222,152.2489583,-27.75104167
52.19671667,-26.34458333,,10.24369444,-52.19671667,,,,-52.19671667,52.19671667,153.6554167,-26.34458333
51.84174167,-25.61166667,,10.29255556,-51.84174167,,,,-51.84174167,51.84174167,154.3883333,-25.61166667
52.90711667,-25.99358333,,10.26709444,-52.90711667,,,,-52.90711667,52.90711667,154.0064167,-25.99358333
51.66911111,-27.03954167,,10.19736389,-51.66911111,,,,-51.66911111,51.66911111,152.9604583,-27.03954167
51.48214444,-26.82670833,,10.21155278,-51.48214444,,,,-51.48214444,51.48214444,153.1732917,-26.82670833
50.79503333,-28.32525,,10.11165,-50.79503333,,,,-50.79503333,50.79503333,151.67475,-28.32525
51.81655278,-26.41870833,,10.23875278,-51.81655278,,,,-51.81655278,51.81655278,153.5812917,-26.41870833
51.83004167,-27.359125,,10.17605833,-51.83004167,,,,-51.83004167,51.83004167,152.640875,-27.359125
51.58904444,-27.63575,,10.15761667,-51.58904444,,,,-51.58904444,51.58904444,152.36425,-27.63575
51.34056667,-26.92970833,,10.20468611,-51.34056667,,,,-51.34056667,51.34056667,153.0702917,-26.92970833
52.37046111,-27.035375,,10.19764167,-52.37046111,,,,-52.37046111,52.37046111,152.964625,-27.035375
51.01422778,-25.01970833,,10.33201944,-51.01422778,,,,-51.01422778,51.01422778,154.9802917,-25.01970833
51.31694167,-26.671625,,10.22189167,-51.31694167,,,,-51.31694167,51.31694167,153.328375,-26.671625
50.30311944,-27.52516667,,10.16498889,-50.30311944,,,,-50.30311944,50.30311944,152.4748333,-27.52516667
51.25261111,-28.54808333,,10.09679444,-51.25261111,,,,-51.25261111,51.25261111,151.4519167,-28.54808333
51.36502222,-26.21370833,,10.25241944,-51.36502222,,,,-51.36502222,51.36502222,153.7862917,-26.21370833
51.20759722,-27.16729167,,10.18884722,-51.20759722,,,,-51.20759722,51.20759722,152.8327083,-27.16729167
52.72459444,-28.12491667,,10.12500556,-52.72459444,,,,-52.72459444,52.72459444,151.8750833,-28.12491667
51.60418611,-28.070375,,10.12864167,-51.60418611,,,,-51.60418611,51.60418611,151.929625,-28.070375
52.53236111,-27.01679167,,10.19888056,-52.53236111,,,,-52.53236111,52.53236111,152.9832083,-27.01679167
54.24083611,-27.78729167,,10.14751389,-54.24083611,,SCO 1b1,,-54.24083611,54.24083611,152.2127083,-27.78729167
53.98626111,-27.20666667,,10.18622222,-53.98626111,,,,-53.98626111,53.98626111,152.7933333,-27.20666667
54.20281111,-27.16979167,,10.18868056,-54.20281111,,,,-54.20281111,54.20281111,152.8302083,-27.16979167
54.33858056,-26.93004167,,10.20466389,-54.33858056,,,,-54.33858056,54.33858056,153.0699583,-26.93004167
54.50571389,-27.650625,,10.156625,-54.50571389,,,,-54.50571389,54.50571389,152.349375,-27.650625
54.27656667,-27.78858333,,10.14742778,-54.27656667,,,,-54.27656667,54.27656667,152.2114167,-27.78858333
54.589525,-27.09275,,10.19381667,-54.589525,,,,-54.589525,54.589525,152.90725,-27.09275
54.03916111,-27.10620833,,10.19291944,-54.03916111,,,,-54.03916111,54.03916111,152.8937917,-27.10620833
53.94566111,-26.8095,,10.2127,-53.94566111,,,,-53.94566111,53.94566111,153.1905,-26.8095
53.99084722,-26.38958333,,10.24069444,-53.99084722,,,,-53.99084722,53.99084722,153.6104167,-26.38958333
54.47784167,-26.69091667,,10.22060556,-54.47784167,,,,-54.47784167,54.47784167,153.3090833,-26.69091667
54.41871389,-26.81833333,,10.21211111,-54.41871389,,,,-54.41871389,54.41871389,153.1816667,-26.81833333
53.81592222,-27.12116667,,10.19192222,-53.81592222,,,,-53.81592222,53.81592222,152.8788333,-27.12116667
54.53405278,-27.12358333,,10.19176111,-54.53405278,,,,-54.53405278,54.53405278,152.8764167,-27.12358333
54.32781944,-27.720125,,10.15199167,-54.32781944,,,,-54.32781944,54.32781944,152.279875,-27.720125
