Latitude,Longitude,,(Original Latitude)
52.4374,-30.3625,,-52.4374
51.43648056,-28.55145833,,-51.43648056
52.60790278,-27.59404167,,-52.60790278
52.64056389,-28.48679167,,-52.64056389
52.04865556,-26.983625,,-52.04865556
53.04450833,-28.04616667,,-53.04450833
53.31398889,-31.066,,-53.31398889
53.52589722,-30.40566667,,-53.52589722
54.36684722,-29.28945833,,-54.36684722
53.09925278,-28.702,,-53.09925278
53.29610556,-26.95191667,,-53.29610556
53.50805556,-27.777125,,-53.50805556
53.67033889,-27.04325,,-53.67033889
53.23303333,-28.60145833,,-53.23303333
54.30310833,-28.45320833,,-54.30310833
51.65945833,-27.72295833,,-51.65945833
52.66609722,-29.33170833,,-52.66609722
52.671825,-28.8055,,-52.671825
52.65150556,-28.637125,,-52.65150556
52.95621111,-29.74525,,-52.95621111
53.56549167,-29.10104167,,-53.56549167
53.64350556,-25.800375,,-53.64350556
52.48374444,-26.91008333,,-52.48374444
51.74005278,-28.99070833,,-51.74005278
52.15781944,-30.20804167,,-52.15781944
52.94419444,-30.25704167,,-52.94419444
53.03834167,-27.46575,,-53.03834167
53.06814444,-28.67091667,,-53.06814444
51.17369167,-28.104875,,-51.17369167
53.74169167,-29.20904167,,-53.74169167
52.5781,-26.51820833,,-52.5781
52.91324444,-27.61845833,,-52.91324444
52.83806111,-28.63633333,,-52.83806111
52.71425833,-28.64979167,,-52.71425833
53.72009444,-28.368625,,-53.72009444
52.34724444,-26.37683333,,-52.34724444
52.32153889,-26.44691667,,-52.32153889
52.8338,-26.49558333,,-52.8338
53.12716944,-28.48091667,,-53.12716944
52.437075,-28.53625,,-52.437075
52.62408889,-27.295625,,-52.62408889
52.33678056,-27.21633333,,-52.33678056
51.62802778,-28.262125,,-51.62802778
53.85047222,-29.76175,,-53.85047222
52.60888333,-26.58166667,,-52.60888333
52.58647778,-29.06520833,,-52.58647778
52.17488611,-28.895625,,-52.17488611
53.05006111,-28.01275,,-53.05006111
52.99378056,-29.21625,,-52.99378056
52.92046944,-26.57366667,,-52.92046944
52.93239722,-26.62920833,,-52.93239722
52.10181389,-28.91808333,,-52.10181389
53.59096944,-27.48966667,,-53.59096944
52.87716944,-27.53416667,,-52.87716944
52.09269167,-29.28666667,,-52.09269167
54.25403333,-29.25645833,,-54.25403333
53.04833333,-28.29083333,,-53.04833333
52.09430833,-28.44345833,,-52.09430833
52.6773,-28.65729167,,-52.6773
53.35619444,-28.64320833,,-53.35619444
52.75708333,-28.08016667,,-52.75708333
51.79067222,-27.00733333,,-51.79067222
52.48041389,-27.78658333,,-52.48041389
54.01001667,-30.514,,-54.01001667
51.96825278,-27.263875,,-51.96825278
53.41875278,-27.6895,,-53.41875278
52.47002222,-28.301125,,-52.47002222
52.02660556,-28.49870833,,-52.02660556
53.41636111,-27.73425,,-53.41636111
53.65208333,-30.81195833,,-53.65208333
52.07884167,-29.626,,-52.07884167
53.18889722,-28.039,,-53.18889722
53.59395278,-28.845625,,-53.59395278
52.60860556,-28.99633333,,-52.60860556
53.90161944,-26.78925,,-53.90161944
51.80064722,-27.422375,,-51.80064722
53.44988333,-30.9285,,-53.44988333
52.37598889,-29.990875,,-52.37598889
53.26370833,-26.59245833,,-53.26370833
51.79442222,-29.66233333,,-51.79442222
52.89388056,-26.52508333,,-52.89388056
51.76267778,-26.51475,,-51.76267778
52.51749444,-28.3165,,-52.51749444
52.59016111,-29.54645833,,-52.59016111
52.72454722,-29.07129167,,-52.72454722
51.69216111,-27.60029167,,-51.69216111
52.80628056,-29.06641667,,-52.80628056
53.60503333,-28.05179167,,-53.60503333
51.67838611,-29.148625,,-51.67838611
53.44931667,-29.86058333,,-53.44931667
52.78956389,-29.71341667,,-52.78956389
50.92914167,-27.590625,,-50.92914167
52.81011111,-28.89233333,,-52.81011111
52.462275,-27.60933333,,-52.462275
51.93150278,-29.25329167,,-51.93150278
51.93475278,-27.97358333,,-51.93475278
52.07351389,-28.41504167,,-52.07351389
51.83140556,-28.69079167,,-51.83140556
53.26610833,-28.91008333,,-53.26610833
51.85048333,-28.02245833,,-51.85048333
52.659525,-28.308375,,-52.659525
51.76091944,-29.82616667,,-51.76091944
51.64496667,-29.01283333,,-51.64496667
53.50475833,-27.07179167,,-53.50475833
53.08264722,-29.2035,,-53.08264722
52.46075556,-27.96445833,,-52.46075556
51.57884722,-26.85716667,,-51.57884722
52.81083889,-29.6625,,-52.81083889
52.32907778,-29.60654167,,-52.32907778
52.32380278,-29.029625,,-52.32380278
52.70913056,-28.75825,,-52.70913056
52.89489722,-29.05520833,,-52.89489722
53.19679444,-29.14545833,,-53.19679444
52.13155,-29.30245833,,-52.13155
52.36033611,-29.332875,,-52.36033611
52.33133333,-28.84920833,,-52.33133333
53.34376667,-28.03875,,-53.34376667
52.77705278,-28.86091667,,-52.77705278
52.97279722,-28.64929167,,-52.97279722
53.47020278,-26.76791667,,-53.47020278
52.30758611,-29.90291667,,-52.30758611
53.27629444,-29.55133333,,-53.27629444
52.98783333,-28.42466667,,-52.98783333
52.23263611,-29.36766667,,-52.23263611
53.49343889,-26.92329167,,-53.49343889
51.89013889,-28.96408333,,-51.89013889
53.49469722,-29.74779167,,-53.49469722
53.26300833,-29.72633333,,-53.26300833
52.74731389,-28.14583333,,-52.74731389
52.12884444,-27.98645833,,-52.12884444
53.21684722,-28.31004167,,-53.21684722
52.74811111,-28.83504167,,-52.74811111
53.74744444,-29.72433333,,-53.74744444
53.64093056,-30.96666667,,-53.64093056
53.00478611,-29.00020833,,-53.00478611
52.10384167,-28.02325,,-52.10384167
53.27468611,-28.871875,,-53.27468611
54.37546667,-29.074,,-54.37546667
53.31836944,-28.900125,,-53.31836944
52.37763611,-29.32958333,,-52.37763611
48.37378611,-175.8004167,,-48.37378611
48.09451667,-175.7828333,,-48.09451667
48.30348889,-176.1681667,,-48.30348889
48.27445833,-176.6854167,,-48.27445833
48.20471667,-176.0146667,,-48.20471667
48.18440556,-176.2567083,,-48.18440556
48.27344444,-176.0025833,,-48.27344444
48.052225,-176.320625,,-48.052225
48.43292222,-176.0384583,,-48.43292222
48.43552222,-175.9066667,,-48.43552222
48.52481667,-176.1393333,,-48.52481667
48.33737222,-175.6200417,,-48.33737222
48.64910278,-176.053125,,-48.64910278
48.74711944,-175.619375,,-48.74711944
48.28824167,-176.119125,,-48.28824167
48.17842778,-175.58775,,-48.17842778
48.20419722,-175.4675833,,-48.20419722
48.57500833,-175.380625,,-48.57500833
47.71809444,-175.70725,,-47.71809444
48.20993056,-175.9198333,,-48.20993056
48.33070278,-175.871625,,-48.33070278
48.18544722,-175.6803333,,-48.18544722
48.27086111,-175.1912083,,-48.27086111
47.94800833,-175.457625,,-47.94800833
48.27251389,-176.05175,,-48.27251389
48.32681667,-176.0595417,,-48.32681667
48.12581389,-175.697625,,-48.12581389
48.31406944,-175.686875,,-48.31406944
48.08651111,-176.032625,,-48.08651111
48.33753611,-175.0657917,,-48.33753611
48.64330833,-175.9832917,,-48.64330833
48.44471667,-175.5959167,,-48.44471667
48.07279722,-176.0071667,,-48.07279722
47.83988056,-175.8710417,,-47.83988056
48.12344444,-175.9433333,,-48.12344444
48.44483889,-175.9108333,,-48.44483889
48.07688611,-175.374,,-48.07688611
48.24440556,-175.7439583,,-48.24440556
48.44715278,-176.0457083,,-48.44715278
48.18624444,-175.966625,,-48.18624444
48.68390833,-175.382125,,-48.68390833
48.39267222,-176.2889167,,-48.39267222
48.415775,-175.52275,,-48.415775
48.33471944,-175.90375,,-48.33471944
47.97637778,-175.086,,-47.97637778
48.18833333,-175.7055,,-48.18833333
48.33911667,-176.1115833,,-48.33911667
74.51891944,-143.73625,,-74.51891944
75.156775,-143.7913333,,-75.156775
74.689375,-143.9914583,,-74.689375
75.10196944,-143.030125,,-75.10196944
75.25561389,-143.1249583,,-75.25561389
75.24898889,-143.8647083,,-75.24898889
74.79821111,-142.972875,,-74.79821111
74.398325,-143.6625417,,-74.398325
74.84334722,-141.3450833,,-74.84334722
74.70531944,-142.6337917,,-74.70531944
74.90228333,-143.0562917,,-74.90228333
74.67918333,-140.8765833,,-74.67918333
74.63675,-142.4658333,,-74.63675
74.01948333,-140.7459583,,-74.01948333
14.06830556,-12.01666667,,-14.06830556
13.78545556,-14.77433333,,-13.78545556
15.00136111,-14.34720833,,-15.00136111
13.825525,-15.46925,,-13.825525
13.57838889,-14.092875,,-13.57838889
12.41966389,-15.46495833,,-12.41966389
12.16984444,-12.299625,,-12.16984444
11.87867778,-11.816125,,-11.87867778
11.34693611,-14.65233333,,-11.34693611
13.39286944,-13.841625,,-13.39286944
11.86147778,-14.19708333,,-11.86147778
11.77637778,-12.00683333,,-11.77637778
12.16468889,-13.47854167,,-12.16468889
12.55278611,-11.92666667,,-12.55278611
14.33394167,-14.12883333,,-14.33394167
12.649525,-15.75233333,,-12.649525
-39.88489444,0.814125,,39.88489444
-40.72837222,-0.384708333,,40.72837222
-40.84316944,0.753125,,40.84316944
-40.70650278,0.522,,40.70650278
-40.58228611,1.318083333,,40.58228611
-40.08373889,-0.189625,,40.08373889
-40.55920833,-0.249333333,,40.55920833
-40.09565,0.241458333,,40.09565
-40.01444444,0.339958333,,40.01444444
-40.23176111,0.304375,,40.23176111
-40.872725,-0.279791667,,40.872725
-40.69383611,0.003166667,,40.69383611
-40.65017778,-0.126208333,,40.65017778
-41.11286944,1.298833333,,41.11286944
-40.94942222,0.789125,,40.94942222
-41.46620278,0.839791667,,41.46620278
-41.03404722,0.717583333,,41.03404722
72.30324444,-59.45070833,,-72.30324444
72.12696111,-58.32570833,,-72.12696111
71.96086944,-59.32866667,,-71.96086944
72.41320556,-59.86454167,,-72.41320556
72.51799722,-57.28020833,,-72.51799722
72.73583056,-59.31595833,,-72.73583056
72.54746667,-58.84745833,,-72.54746667
72.31129722,-59.80804167,,-72.31129722
71.95741389,-59.06754167,,-71.95741389
72.04109722,-58.43104167,,-72.04109722
72.49998611,-59.764,,-72.49998611
72.252875,-60.457375,,-72.252875
72.50176667,-58.247875,,-72.50176667
72.44796667,-59.663125,,-72.44796667
72.2714,-60.25133333,,-72.2714
72.56813056,-59.94866667,,-72.56813056
74.33124722,-81.921,,-74.33124722
74.12139444,-82.44720833,,-74.12139444
74.35741111,-82.049,,-74.35741111
74.32852222,-82.26479167,,-74.32852222
73.88815,-82.33095833,,-73.88815
74.05760278,-82.01791667,,-74.05760278
74.05435,-81.71783333,,-74.05435
74.109475,-82.23666667,,-74.109475
74.15312778,-82.41625,,-74.15312778
73.96248889,-82.84708333,,-73.96248889
74.0067,-82.75425,,-74.0067
74.22448611,-82.02983333,,-74.22448611
74.02497778,-82.50154167,,-74.02497778
73.9725,-82.697375,,-73.9725
74.359875,-82.52679167,,-74.359875
74.06398611,-81.75954167,,-74.06398611
74.15411667,-81.34216667,,-74.15411667
74.35801111,-81.57883333,,-74.35801111
74.15008611,-82.452375,,-74.15008611
74.33265833,-81.83333333,,-74.33265833
74.01678056,-82.57445833,,-74.01678056
74.12544444,-82.8795,,-74.12544444
74.23160833,-82.26941667,,-74.23160833
76.03054444,-86.758375,,-76.03054444
75.55201111,-86.68195833,,-75.55201111
75.835375,-85.694,,-75.835375
76.23361667,-86.19445833,,-76.23361667
75.99505,-85.744625,,-75.99505
75.99567778,-85.652625,,-75.99567778
75.85816667,-86.04070833,,-75.85816667
75.80851389,-85.19870833,,-75.80851389
75.90846667,-84.47675,,-75.90846667
75.71860556,-84.39054167,,-75.71860556
75.84438889,-86.00633333,,-75.84438889
75.72566111,-86.096625,,-75.72566111
75.66458333,-86.85233333,,-75.66458333
75.79991667,-86.36,,-75.79991667
75.75056111,-85.81941667,,-75.75056111
76.93575,-114.721125,,-76.93575
77.03298333,-114.086375,,-77.03298333
77.0226,-113.2822083,,-77.0226
76.76371667,-114.092375,,-76.76371667
76.94976667,-114.70025,,-76.94976667
77.04605833,-113.3109167,,-77.04605833
76.99815278,-113.9907917,,-76.99815278
77.17543611,-114.6609167,,-77.17543611
76.89730833,-113.5755833,,-76.89730833
77.20711389,-113.1485833,,-77.20711389
77.13281944,-114.80825,,-77.13281944
77.09876111,-112.8607083,,-77.09876111
76.97367778,-112.8454167,,-76.97367778
76.70507222,-113.6939583,,-76.70507222
76.87106944,-113.966375,,-76.87106944
76.92082778,-114.5234583,,-76.92082778
76.96628889,-114.2190833,,-76.96628889
76.973525,-115.2760417,,-76.973525
77.35518333,-113.6915417,,-77.35518333
76.86043333,-112.8560833,,-76.86043333
76.803,-114.1714583,,-76.803
-35.56761944,-4.359541667,,35.56761944
-35.37857222,-4.17575,,35.37857222
-35.30034444,-4.888291667,,35.30034444
-34.78198056,-3.788041667,,34.78198056
-34.91118333,-4.453833333,,34.91118333
-35.23766667,-4.583041667,,35.23766667
-35.25002778,-4.33875,,35.25002778
-34.57885556,-4.035875,,34.57885556
-34.98165278,-4.434333333,,34.98165278
-35.829375,-3.740041667,,35.829375
-35.67408333,-3.9705,,35.67408333
-34.917925,-2.939333333,,34.917925
-35.04493056,-2.783875,,35.04493056
-35.21723333,-4.155583333,,35.21723333
-35.37752222,-3.664791667,,35.37752222
-35.89468889,-3.554125,,35.89468889
-35.57353611,-3.867458333,,35.57353611
-34.79599444,-3.438708333,,34.79599444
-10.99844167,-4.084541667,,10.99844167
-9.421947222,-6.832583333,,9.421947222
-10.96971389,-8.179333333,,10.96971389
-11.49826944,-8.250291667,,11.49826944
-10.7673,-5.486541667,,10.7673
-14.071475,-7.759625,,14.071475
-11.14052778,-7.786916667,,11.14052778
-9.760922222,-6.771625,,9.760922222
-8.270369444,-4.114833333,,8.270369444
-9.256277778,-8.85475,,9.256277778
-7.454055556,-9.402833333,,7.454055556
-6.940516667,-9.040958333,,6.940516667
-8.537719444,-11.07845833,,8.537719444
